stamp,date,local_hour,lat,lon,night_fog_diff,nfd_local_bg,nfd_anomaly,cloud_proxy,label_real_fire_nearby
20231101_0212,20231101,7,29.0,67.25,3.014,10.851774399999995,-7.837774399999995,0.135,False
20231101_1212,20231101,17,22.25,65.0,-3.336,-1.969414545454542,-1.3665854545454579,0.0,False
20231101_0212,20231101,7,34.0,72.25,20.071,25.375526066350705,-5.304526066350704,0.252,False
20231110_0212,20231110,7,21.25,62.0,-3.532,-2.9508377777777643,-0.5811622222222357,0.0,False
20231101_0212,20231101,7,21.75,57.25,-4.425,-3.663915909090908,-0.7610840909090917,0.033,False
20231107_0212,20231107,7,29.75,63.5,-3.893,-2.156910399999996,-1.7360896000000037,0.197,False
20231107_1212,20231107,17,23.5,58.75,3.925,2.635443199999997,1.2895568000000028,0.017,False
20231105_1212,20231105,17,39.25,62.0,6.004,8.447567500000005,-2.4435675000000057,0.354,False
20231108_0212,20231108,7,35.75,71.0,31.66,24.675999999999995,6.984000000000005,0.675,False
20231105_0212,20231105,7,39.25,64.5,12.292,8.9677925,3.3242075,0.898,False
20231115_1212,20231115,17,39.25,69.5,1.431,2.419208333333333,-0.9882083333333331,0.637,False
20231102_1212,20231102,17,26.25,64.0,1.998,0.3881983999999982,1.6098016000000017,0.024,False
20231113_0212,20231113,7,37.0,67.75,-6.337,-4.940912903225806,-1.3960870967741936,0.245,False
20231108_0212,20231108,7,37.75,61.5,-6.113,-2.7043581818181814,-3.408641818181819,0.384,False
20231104_1212,20231104,17,33.75,59.5,1.745,10.796166400000004,-9.051166400000003,0.077,False
20231107_1212,20231107,17,34.25,69.25,-0.464,5.807590400000012,-6.271590400000012,0.471,False
20231101_1212,20231101,17,30.75,71.5,-3.134,1.9078330241187438,-5.041833024118744,0.133,True
20231115_1212,20231115,17,32.25,56.25,0.721,2.3726777777777777,-1.6516777777777776,0.0,False
20231108_1212,20231108,17,27.0,58.5,3.142,5.725918400000002,-2.583918400000002,0.0,False
20231109_0212,20231109,7,20.75,69.5,5.915,12.488772500000008,-6.5737725000000085,0.06,False
20231107_0212,20231107,7,34.25,61.75,-4.696,-3.435291199999998,-1.2607088000000015,0.179,False
20231112_0212,20231112,7,23.5,59.0,9.539,4.874729599999998,4.664270400000001,0.334,False
20231101_0212,20231101,7,27.25,63.0,-1.279,1.1629215999999987,-2.441921599999999,0.114,False
20231114_0212,20231114,7,36.25,68.5,-5.065,-3.5820241545893716,-1.4829758454106288,0.292,True
20231115_1212,20231115,17,38.0,71.5,1.586,2.247824022346369,-0.6618240223463687,0.933,False
20231109_0212,20231109,7,37.5,64.75,-6.585,-5.198805217391307,-1.386194782608693,0.3,False
20231109_0212,20231109,7,22.5,67.5,1.418,9.761704347826099,-8.3437043478261,0.086,False
20231108_1212,20231108,17,38.25,66.25,7.998,8.320687999999995,-0.322687999999995,0.915,False
20231105_0212,20231105,7,22.0,60.75,-2.363,0.6001523809523819,-2.9631523809523816,0.0,False
20231103_1212,20231103,17,39.0,67.0,-5.852,-4.74752358490566,-1.1044764150943402,0.112,False
20231102_0212,20231102,7,31.5,63.5,-2.356,0.4164207999999984,-2.772420799999998,0.207,False
20231104_0212,20231104,7,31.0,67.5,2.158,14.7238112,-12.5658112,0.326,False
20231108_0212,20231108,7,25.75,72.5,15.632,18.349981744421907,-2.717981744421907,0.207,False
20231111_0212,20231111,7,34.75,62.75,-5.112,-4.250004800000001,-0.8619951999999991,0.26,False
20231101_1212,20231101,17,25.5,68.25,0.259,1.5731055999999983,-1.3141055999999982,0.04,True
20231111_0212,20231111,7,31.25,72.5,9.48,1.5889722863741322,7.891027713625868,0.14,True
20231107_1212,20231107,17,23.25,68.75,0.347,1.3473055999999866,-1.0003055999999866,0.058,False
20231109_1212,20231109,17,27.5,61.0,0.155,-0.3764591999999988,0.5314591999999988,0.0,False
20231111_1212,20231111,17,25.25,55.25,11.115,7.631714285714287,3.4832857142857137,0.26,False
20231107_1212,20231107,17,29.75,70.75,-3.51,1.525131493506499,-5.035131493506499,0.14,True
20231110_0212,20231110,7,26.0,58.25,-5.146,-4.316033600000003,-0.8299663999999973,0.0,False
20231107_1212,20231107,17,22.0,60.75,-2.365,0.32775047619048475,-2.692750476190485,0.0,False
20231103_1212,20231103,17,34.25,56.5,16.784,17.859783157894736,-1.0757831578947368,0.661,False
20231102_0212,20231102,7,30.5,69.25,22.178,17.6508928,4.5271072,0.247,False
20231110_0212,20231110,7,25.25,72.0,5.268,6.420702554744525,-1.1527025547445255,0.114,True
20231114_1212,20231114,17,33.75,57.0,6.748,11.42169523809524,-4.673695238095239,0.278,False
20231109_0212,20231109,7,33.25,61.75,-4.765,-5.181081599999996,0.4160815999999965,0.242,False
20231103_0212,20231103,7,20.5,62.75,1.611,3.6072133333333296,-1.9962133333333296,0.024,False
20231109_1212,20231109,17,22.5,57.5,16.61,2.3885349716446105,14.22146502835539,0.138,False
20231104_0212,20231104,7,24.25,66.0,17.126,10.541182400000002,6.584817599999999,0.16,False
20231112_0212,20231112,7,20.0,55.5,10.5,9.640123076923075,0.859876923076925,0.64,False
20231101_0212,20231101,7,21.0,74.25,4.237,8.347894067796599,-4.110894067796599,0.077,False
20231104_1212,20231104,17,21.75,67.5,-2.185,-1.119603999999992,-1.065396000000008,0.031,False
20231106_0212,20231106,7,35.5,68.25,8.219,17.151605769230773,-8.932605769230774,0.477,False
20231110_1212,20231110,17,30.25,58.75,-1.592,-0.5359599999999979,-1.056040000000002,0.0,False
20231113_1212,20231113,17,40.0,65.25,-6.454,-5.74948,-0.7045199999999996,0.15,False
20231115_1212,20231115,17,21.5,72.75,-5.203,-5.743103448275862,0.540103448275862,0.04,False
20231109_1212,20231109,17,20.0,56.5,4.708,4.300696356275303,0.4073036437246973,0.0,False
20231106_1212,20231106,17,35.75,73.0,-4.746,10.109889240506325,-14.855889240506325,0.373,False
20231114_1212,20231114,17,22.25,65.25,-2.686,-3.0390636363636307,0.3530636363636308,0.0,False
20231105_0212,20231105,7,39.5,59.75,-3.302,0.5615759999999999,-3.863576,0.321,False
20231111_0212,20231111,7,26.25,58.75,-5.076,-4.157711999999997,-0.9182880000000022,0.063,False
20231105_1212,20231105,17,34.25,70.0,12.974,7.97773548387098,4.9962645161290204,0.675,False
20231104_1212,20231104,17,32.5,56.75,19.727,10.298212000000005,9.428787999999996,0.571,False
20231103_0212,20231103,7,33.25,67.5,2.52,7.560796799999997,-5.040796799999997,0.345,False
20231113_0212,20231113,7,36.5,69.75,-6.425,-3.875057755775576,-2.549942244224424,0.302,False
20231113_1212,20231113,17,32.0,63.0,-2.252,-1.4130319999999992,-0.8389680000000006,0.0,False
20231112_0212,20231112,7,30.5,67.75,2.977,-0.26090399999999647,3.2379039999999963,0.362,False
20231108_0212,20231108,7,31.75,63.5,-2.803,-0.48742559999999974,-2.3155744,0.289,False
20231111_0212,20231111,7,23.5,57.5,-4.165,-4.20080347826087,0.0358034782608696,0.011,False
20231101_1212,20231101,17,31.25,62.0,0.519,5.0813535999999955,-4.562353599999995,0.0,False
20231109_0212,20231109,7,30.25,66.0,-1.599,-1.5785952000000005,-0.020404799999999446,0.212,False
20231111_1212,20231111,17,39.0,60.75,-1.795,1.6932894117647057,-3.488289411764706,0.162,False
20231110_1212,20231110,17,25.0,69.5,-5.409,-4.7403423999999985,-0.6686576000000013,0.0,True
20231102_0212,20231102,7,21.75,65.0,6.724,7.901377999999997,-1.1773779999999965,0.058,False
20231104_1212,20231104,17,21.0,58.5,5.027,7.423341176470588,-2.396341176470588,0.0,False
20231112_1212,20231112,17,20.5,69.0,23.143,12.89864000000001,10.244359999999991,0.894,False
20231102_1212,20231102,17,29.5,65.25,-0.331,0.5384576000000014,-0.8694576000000014,0.072,False
20231107_0212,20231107,7,39.5,64.5,17.359,1.733384,15.625616,0.902,False
20231101_1212,20231101,17,33.0,73.0,15.78,5.368671270718232,10.411328729281767,0.696,False
20231104_0212,20231104,7,39.25,56.25,-3.134,-0.12457638888888908,-3.009423611111111,0.26,False
20231106_0212,20231106,7,40.0,68.25,5.455,15.835437500000001,-10.380437500000001,0.607,False
20231106_1212,20231106,17,24.75,62.75,-3.476,1.898161600000004,-5.374161600000004,0.0,False
20231112_0212,20231112,7,29.0,63.0,-3.39,-2.604001600000002,-0.7859983999999982,0.167,False
20231106_1212,20231106,17,37.5,59.5,-0.159,1.4012991304347826,-1.5602991304347826,0.107,False
20231113_0212,20231113,7,38.25,60.75,-6.645,-5.676614000000002,-0.968385999999998,0.24,False
20231108_0212,20231108,7,23.25,74.5,19.366,16.590850793650795,2.775149206349205,0.169,False
20231106_1212,20231106,17,33.0,60.5,9.702,8.81148,0.8905200000000004,0.493,False
20231103_1212,20231103,17,20.5,64.0,0.927,2.5402666666667018,-1.6132666666667017,0.058,False
20231105_1212,20231105,17,37.5,63.5,7.201,10.520532173913042,-3.319532173913042,0.382,False
20231105_0212,20231105,7,22.25,73.5,11.325,11.878940217391282,-0.5539402173912826,0.098,False
20231109_1212,20231109,17,21.75,67.75,0.504,1.9721840000000015,-1.4681840000000015,0.086,False
20231112_1212,20231112,17,28.5,55.5,17.17,10.68848,6.4815200000000015,0.758,False
20231110_0212,20231110,7,38.25,71.25,-1.474,-1.063572625698324,-0.410427374301676,0.644,False
20231114_0212,20231114,7,27.75,62.0,-3.656,-3.507827199999998,-0.148172800000002,0.197,False
20231108_1212,20231108,17,26.25,57.0,-3.269,5.078333333333333,-8.347333333333333,0.0,False
20231111_1212,20231111,17,33.5,60.0,-0.391,2.8183552,-3.2093552,0.013,False
20231105_0212,20231105,7,23.5,67.5,7.045,7.294507199999998,-0.24950719999999826,0.017,False
20231102_1212,20231102,17,34.25,66.25,-0.282,-0.8428352000000007,0.5608352000000008,0.086,False
20231112_0212,20231112,7,31.25,67.5,-2.326,-0.7715599999999962,-1.5544400000000038,0.365,False
20231110_1212,20231110,17,28.5,67.5,-5.745,-4.226672,-1.5183280000000003,0.0,True
20231111_0212,20231111,7,36.25,65.75,-3.872,-1.4173248000000014,-2.4546751999999987,0.252,False
20231106_0212,20231106,7,32.5,63.0,7.305,6.2048352,1.1001648,1.0,False
20231110_0212,20231110,7,23.25,71.25,6.088,8.045977600000004,-1.957977600000004,0.067,False
20231113_1212,20231113,17,37.5,64.0,-5.785,-3.823801739130434,-1.961198260869566,0.131,False
20231113_0212,20231113,7,36.0,61.25,-6.872,-5.42748,-1.4445199999999998,0.212,False
20231110_0212,20231110,7,30.0,71.0,10.164,4.059511744966449,6.104488255033551,0.148,True
20231101_0212,20231101,7,27.75,71.25,16.417,16.04616415410385,0.3708358458961527,0.16,False
20231101_1212,20231101,17,27.75,68.0,-4.064,3.0777936000000046,-7.141793600000005,0.0,True
20231110_1212,20231110,17,23.5,59.75,-4.179,-2.043396799999998,-2.1356032000000025,0.0,False
20231106_1212,20231106,17,25.5,61.75,0.954,3.664470400000007,-2.7104704000000073,0.0,False
20231113_0212,20231113,7,26.75,60.0,-0.849,0.054139200000001435,-0.9031392000000014,0.217,False
20231102_1212,20231102,17,27.25,72.75,-2.018,-0.20005960264900458,-1.8179403973509953,0.145,False
20231115_1212,20231115,17,21.5,55.5,7.848,6.754056140350877,1.0939438596491229,0.0,False
20231101_0212,20231101,7,20.0,74.0,6.419,7.793913265306159,-1.3749132653061595,0.1,False
20231109_0212,20231109,7,34.75,71.75,32.347,17.900088744588736,14.446911255411266,0.793,False
20231113_0212,20231113,7,25.25,57.25,-4.805,-2.292179999999999,-2.5128200000000005,0.0,False
20231107_1212,20231107,17,37.5,67.75,13.059,8.617812280701754,4.441187719298245,0.594,False
20231103_1212,20231103,17,26.5,70.75,-0.239,1.6653824000000021,-1.904382400000002,0.14,False
20231111_0212,20231111,7,21.75,55.75,-1.512,-3.933668749999999,2.421668749999999,0.015,False
20231101_1212,20231101,17,30.0,57.0,18.67,10.97808,7.691920000000001,0.483,False
20231110_0212,20231110,7,39.25,64.5,0.196,-3.617962500000001,3.813962500000001,0.424,False
20231112_0212,20231112,7,28.5,58.75,6.081,-1.7238624000000022,7.804862400000003,0.442,False
20231104_1212,20231104,17,31.5,66.25,2.422,5.785788799999994,-3.3637887999999943,0.396,False
20231113_1212,20231113,17,35.25,68.25,-4.559,-4.942513600000002,0.38351360000000145,0.14,False
20231111_0212,20231111,7,23.25,65.0,-3.655,-2.449004799999998,-1.2059952000000016,0.0,False
20231102_1212,20231102,17,24.5,71.0,0.552,-0.7554182692307683,1.3074182692307683,0.119,False
20231111_0212,20231111,7,23.75,58.25,-4.423,-4.3784304,-0.04456959999999999,0.0,False
20231104_0212,20231104,7,37.0,68.25,7.385,2.8593741935483874,4.525625806451613,0.222,False
20231114_0212,20231114,7,24.0,70.0,30.435,17.573614400000004,12.861385599999995,0.785,True
20231105_1212,20231105,17,23.5,62.0,-4.095,0.9241631999999809,-5.019163199999981,0.0,False
20231105_1212,20231105,17,26.25,57.0,-1.454,6.4097980952380995,-7.863798095238099,0.0,False
20231101_0212,20231101,7,35.0,63.25,-6.694,-3.0333680000000007,-3.660631999999999,0.286,False
20231102_0212,20231102,7,23.25,57.0,-2.495,-3.76953142857143,1.27453142857143,0.049,False
20231109_1212,20231109,17,27.5,62.25,0.13,-0.6077359999999988,0.7377359999999988,0.0,False
20231110_0212,20231110,7,39.75,56.25,2.525,-0.757702380952381,3.2827023809523808,0.413,False
20231115_1212,20231115,17,27.75,55.5,2.171,4.960378666666667,-2.7893786666666673,0.0,False
20231102_0212,20231102,7,26.75,64.75,9.091,6.2401040000000005,2.8508959999999988,0.16,False
20231109_1212,20231109,17,25.5,59.25,-0.022,0.7533760000000003,-0.7753760000000003,0.0,False
20231110_0212,20231110,7,22.0,62.5,-3.149,-2.7271542857142794,-0.4218457142857206,0.0,False
20231110_1212,20231110,17,37.75,68.75,2.446,0.7366531365313663,1.709346863468634,0.433,False
20231110_0212,20231110,7,36.5,66.25,-5.267,-3.4376432,-1.8293568000000002,0.258,False
20231115_0212,20231115,7,38.5,68.75,1.37,-1.3210192719486085,2.6910192719486083,0.373,False
20231104_1212,20231104,17,31.0,66.75,2.827,5.092300800000006,-2.2653008000000057,0.571,False
20231114_1212,20231114,17,20.75,73.5,-5.086,-5.295321033210336,0.2093210332103359,0.054,False
20231107_1212,20231107,17,26.5,73.25,-1.083,-2.1778239608802124,1.0948239608802124,0.184,True
20231111_1212,20231111,17,23.75,57.25,0.879,4.2792909090909115,-3.4002909090909115,0.0,False
20231104_0212,20231104,7,39.5,63.25,16.354,2.783717333333333,13.570282666666666,0.907,False
20231107_0212,20231107,7,36.0,59.25,-4.982,-3.0515439999999994,-1.9304560000000008,0.229,False
20231107_1212,20231107,17,22.0,72.25,-4.824,-0.198989059080967,-4.625010940919033,0.038,False
20231102_0212,20231102,7,33.5,59.5,-3.308,-4.099760000000002,0.7917600000000018,0.316,False
20231115_0212,20231115,7,27.75,65.0,-3.975,-1.720716799999999,-2.254283200000001,0.157,False
20231104_1212,20231104,17,28.5,58.75,2.4,6.322697600000012,-3.922697600000012,0.0,False
20231101_0212,20231101,7,21.0,68.25,11.963,7.6496070588235305,4.313392941176469,0.098,False
20231101_0212,20231101,7,29.75,60.25,-3.718,-3.473208,-0.2447919999999999,0.192,False
20231103_0212,20231103,7,22.25,61.75,-0.653,2.9134854545454543,-3.5664854545454543,0.0,False
20231102_0212,20231102,7,24.75,64.0,6.905,5.120979200000002,1.7840207999999986,0.042,False
20231112_1212,20231112,17,28.25,55.0,0.988,10.748876923076924,-9.760876923076925,0.0,False
20231113_1212,20231113,17,30.5,68.5,-4.146,0.015831999999999607,-4.1618319999999995,0.091,True
20231104_0212,20231104,7,30.5,65.25,20.926,7.905972799999999,13.0200272,0.865,False
20231101_0212,20231101,7,25.75,68.5,12.878,10.062992000000005,2.8150079999999953,0.109,True
20231112_0212,20231112,7,37.0,65.0,-7.46,-5.3952736,-2.0647263999999996,0.268,False
20231110_0212,20231110,7,38.0,60.0,-5.217,-3.2506457142857146,-1.966354285714285,0.187,False
20231101_1212,20231101,17,38.25,64.5,-4.061,-1.7418339999999994,-2.3191660000000005,0.105,False
20231110_1212,20231110,17,35.75,72.75,-3.448,-4.0201441176470585,0.5721441176470585,0.436,False
20231115_1212,20231115,17,39.5,62.0,-5.412,-3.2120746666666666,-2.1999253333333333,0.079,False
20231112_0212,20231112,7,25.75,69.0,-0.82,3.996260800000001,-4.816260800000001,0.074,True
20231112_0212,20231112,7,35.75,64.25,-6.491,-5.1495440000000015,-1.3414559999999982,0.273,False
20231109_0212,20231109,7,28.5,60.5,-3.871,-4.6658208,0.7948207999999997,0.209,False
20231104_0212,20231104,7,35.0,55.25,-4.168,-2.1653399999999996,-2.0026600000000006,0.217,False
20231108_1212,20231108,17,34.5,72.0,1.4,4.1929090909090805,-2.7929090909090806,0.457,False
20231112_0212,20231112,7,32.0,62.0,-3.867,-4.062011200000001,0.1950112000000006,0.189,False
20231106_1212,20231106,17,37.5,57.0,-0.508,1.5103540372670805,-2.0183540372670805,0.051,False
20231105_0212,20231105,7,24.5,57.25,-1.981,-1.430481818181819,-0.550518181818181,0.0,False
20231111_1212,20231111,17,21.75,65.25,0.317,2.4866119999999845,-2.1696119999999843,0.065,False
20231111_1212,20231111,17,36.5,56.25,0.072,1.1295244444444446,-1.0575244444444445,0.054,False
20231107_1212,20231107,17,30.5,71.75,-3.254,1.9470793036750613,-5.201079303675061,0.192,True
20231114_0212,20231114,7,26.5,66.5,-2.509,0.6165567999999992,-3.125556799999999,0.065,True
20231114_0212,20231114,7,25.5,66.25,-5.637,0.4894160000000011,-6.126416000000001,0.024,False
20231110_1212,20231110,17,32.75,58.5,-0.787,0.08148800000000146,-0.8684880000000015,0.0,False
20231101_1212,20231101,17,23.0,61.0,-1.709,-1.111883200000001,-0.5971167999999991,0.0,False
20231103_0212,20231103,7,27.75,59.75,-3.531,1.4666032000000022,-4.997603200000002,0.054,False
20231111_0212,20231111,7,35.5,57.5,2.294,-0.5573982608695652,2.851398260869565,0.471,False
20231101_1212,20231101,17,34.0,57.0,17.587,8.026969523809523,9.560030476190477,0.714,False
20231109_1212,20231109,17,39.5,57.5,2.969,2.557736231884058,0.4112637681159419,0.209,False
20231113_1212,20231113,17,39.5,66.0,-7.271,-6.361738666666667,-0.9092613333333333,0.14,False
20231105_0212,20231105,7,30.75,71.25,18.531,16.405328014184388,2.125671985815611,0.152,True
20231108_1212,20231108,17,39.5,55.25,3.825,4.746428571428571,-0.9214285714285708,0.16,False
20231107_1212,20231107,17,29.25,65.0,5.105,5.733577600000004,-0.6285776000000034,0.189,False
20231111_1212,20231111,17,32.75,58.75,-0.11,2.4234687999999998,-2.5334687999999996,0.0,False
20231114_1212,20231114,17,30.0,63.0,2.525,4.532791999999995,-2.0077919999999954,0.109,False
20231108_1212,20231108,17,34.75,61.5,12.184,8.213721600000001,3.970278399999998,0.398,False
20231114_0212,20231114,7,29.5,71.75,4.849,8.866598859315589,-4.017598859315589,0.131,True
20231109_0212,20231109,7,23.25,61.25,-2.015,-2.070660800000006,0.05566080000000584,0.0,False
20231105_0212,20231105,7,30.5,61.25,5.262,2.7105311999999997,2.5514688,0.433,False
20231114_0212,20231114,7,24.0,66.25,-2.101,0.9875440000000016,-3.0885440000000015,0.0,False
20231105_1212,20231105,17,27.5,69.0,-2.724,2.4418496000000043,-5.165849600000005,0.04,True
20231101_1212,20231101,17,38.75,60.5,-2.019,-0.6688133333333335,-1.3501866666666666,0.029,False
20231110_0212,20231110,7,27.25,64.25,-2.123,-3.2110352,1.0880351999999998,0.15,False
20231113_1212,20231113,17,28.0,72.0,21.971,9.905618497109822,12.065381502890178,1.0,False
20231106_0212,20231106,7,35.5,71.25,50.089,24.671102822580647,25.417897177419352,1.0,False
20231112_1212,20231112,17,27.25,63.5,10.625,5.393272000000004,5.231727999999996,0.376,False
20231109_1212,20231109,17,27.5,63.75,0.14,-0.7951471999999993,0.9351471999999993,0.002,False
20231112_1212,20231112,17,28.25,58.25,25.921,11.211008,14.709992,0.777,False
20231111_0212,20231111,7,35.75,72.25,-3.117,-0.4132025641025633,-2.7037974358974366,0.427,False
20231101_0212,20231101,7,28.5,60.75,-3.834,-2.7020527999999975,-1.1319472000000026,0.202,False
20231106_1212,20231106,17,32.25,56.0,1.918,3.8395058823529404,-1.9215058823529405,0.0,False
20231113_1212,20231113,17,36.25,65.0,-5.292,-3.8132864,-1.4787135999999999,0.114,False
20231114_1212,20231114,17,33.25,67.75,-3.427,-2.8285279999999986,-0.5984720000000014,0.145,False
20231108_0212,20231108,7,27.5,63.25,9.525,-0.8646448000000019,10.389644800000003,0.514,False
20231105_0212,20231105,7,34.25,66.25,6.26,10.119423999999999,-3.859423999999999,0.508,False
20231109_0212,20231109,7,32.75,72.5,13.208,17.685800000000008,-4.477800000000007,0.24,True
20231101_0212,20231101,7,29.5,68.0,19.839,13.355585599999998,6.483414400000001,0.359,False
20231113_0212,20231113,7,23.5,58.25,1.275,-0.4406239999999977,1.7156239999999976,0.217,False
20231114_1212,20231114,17,27.25,58.0,-0.969,2.194729600000002,-3.1637296000000017,0.0,False
20231108_0212,20231108,7,31.75,70.75,13.117,14.674795341098184,-1.557795341098183,0.227,True
20231110_0212,20231110,7,39.0,63.5,-3.505,-3.6081364705882355,0.10313647058823561,0.297,False
20231107_1212,20231107,17,40.0,64.25,-3.366,6.322387692307689,-9.688387692307689,0.143,False
20231104_1212,20231104,17,35.25,61.0,4.987,12.2227264,-7.235726400000001,0.138,False
20231110_1212,20231110,17,26.5,69.0,-6.017,-5.2204288,-0.7965712000000007,0.0,True
20231105_1212,20231105,17,34.5,72.0,7.566,6.536172727272719,1.0298272727272808,0.471,True
20231107_0212,20231107,7,35.75,56.0,-4.226,-4.319863529411766,0.09386352941176579,0.199,False
20231109_1212,20231109,17,20.75,69.5,0.719,3.376885,-2.6578850000000003,0.1,False
20231106_0212,20231106,7,21.25,66.75,21.374,10.007111111111113,11.366888888888885,0.471,False
20231102_0212,20231102,7,27.75,73.0,16.298,19.23608056872038,-2.9380805687203804,0.148,True
20231114_1212,20231114,17,37.0,59.0,-0.177,3.0370896000000003,-3.2140896000000003,0.072,False
20231107_1212,20231107,17,28.0,59.0,5.896,6.074291199999994,-0.1782911999999941,0.002,False
20231107_0212,20231107,7,26.5,59.25,-4.439,-2.563660800000003,-1.8753391999999969,0.067,False
20231113_1212,20231113,17,20.5,58.25,2.406,2.100205333333335,0.3057946666666651,0.0,False
20231114_1212,20231114,17,30.25,60.75,-1.128,8.060465599999995,-9.188465599999995,0.0,False
20231114_0212,20231114,7,25.0,56.0,10.354,-0.9700094117647056,11.324009411764704,0.747,False
20231107_0212,20231107,7,26.5,62.75,-2.728,-1.9163184000000022,-0.811681599999998,0.093,False
20231109_0212,20231109,7,37.75,63.75,-6.651,-5.998547272727274,-0.6524527272727259,0.31,False
20231109_0212,20231109,7,32.5,57.5,-4.4,-4.579342608695649,0.17934260869564866,0.184,False
20231103_0212,20231103,7,21.0,74.0,3.845,11.600964426877491,-7.75596442687749,0.081,False
20231107_0212,20231107,7,26.25,70.25,12.529,13.854547200000006,-1.3255472000000061,0.114,False
20231109_1212,20231109,17,22.25,59.75,1.039,0.6477345454545445,0.39126545454545547,0.0,False
20231106_1212,20231106,17,31.5,71.5,15.705,9.422079395085069,6.282920604914931,0.996,True
20231114_1212,20231114,17,21.25,60.0,-4.175,1.0719866666666662,-5.2469866666666665,0.0,False
20231113_0212,20231113,7,29.0,62.25,-2.277,-0.8475360000000007,-1.4294639999999994,0.204,False
20231101_0212,20231101,7,35.75,69.0,24.844,13.212087096774194,11.631912903225807,0.398,False
20231107_0212,20231107,7,32.25,64.0,-4.168,-2.1942288,-1.9737712000000003,0.217,False
20231106_0212,20231106,7,21.75,57.0,-4.722,-4.136959523809528,-0.5850404761904722,0.004,False
20231105_1212,20231105,17,28.25,55.25,4.965,10.082294285714285,-5.117294285714285,0.0,False
20231104_1212,20231104,17,34.5,57.25,29.018,13.547603636363638,15.470396363636363,1.0,False
20231109_0212,20231109,7,30.25,56.75,-3.058,-4.201844,1.1438440000000005,0.227,False
20231104_1212,20231104,17,23.5,55.0,7.783,5.531523076923079,2.251476923076921,0.004,False
20231111_1212,20231111,17,26.75,62.25,-2.281,-2.3658847999999986,0.08488479999999843,0.0,False
20231112_0212,20231112,7,35.5,73.0,-4.563,1.5958043478260846,-6.158804347826084,0.448,False
20231102_1212,20231102,17,37.5,57.5,-0.239,0.4614045368620035,-0.7004045368620035,0.0,False
20231109_1212,20231109,17,21.75,67.0,8.802,1.3294240000000008,7.472575999999998,0.197,False
20231114_0212,20231114,7,21.25,55.75,-6.881,-2.1167395833333336,-4.764260416666667,0.006,False
20231107_1212,20231107,17,35.0,62.75,15.055,8.549737599999995,6.505262400000005,0.627,False
20231104_0212,20231104,7,28.75,67.0,24.185,12.009432,12.175567999999998,0.824,False
20231110_1212,20231110,17,24.25,68.75,-5.278,-4.3242736,-0.9537263999999999,0.0,False
20231115_0212,20231115,7,37.5,63.25,-0.01,-1.8050260869565216,1.7950260869565215,0.433,False
20231110_0212,20231110,7,27.75,58.75,-5.246,-4.396064000000004,-0.849935999999996,0.105,False
