district,date,hazard,hazard_flag,hazard_confidence,crop,crop_stage,vulnerability_weight,crop_weight,interim_confidence_multiplier,exposure_score_before_confidence_discount,exposure_score,agronomically_plausible,crop_mix_source,crop_mix_share_of_4crop_area,lat,lon
Kasur,20260708,frost,True,0.52,cotton,flowering,0.9,0.1028,0.428,0.0481,0.0206,True,model_estimated_interim,0.10277572063868357,31.031981126992218,74.0671594418965
Kasur,20260709,frost,True,0.52,cotton,flowering,0.9,0.1028,0.428,0.0481,0.0206,True,model_estimated_interim,0.10277572063868357,31.031981126992218,74.0671594418965
Matiari,20260712,fog,True,0.75,cotton,flowering,0.3,0.2141,0.428,0.0482,0.0206,True,model_estimated_interim,0.21414042090820187,25.8206183400661,68.41778750435569
Matiari,20260713,fog,True,0.75,cotton,flowering,0.3,0.2141,0.428,0.0482,0.0206,True,model_estimated_interim,0.21414042090820187,25.8206183400661,68.41778750435569
Kasur,20260714,frost,True,0.52,cotton,flowering,0.9,0.1028,0.428,0.0481,0.0206,True,model_estimated_interim,0.10277572063868357,31.031981126992218,74.0671594418965
Sialkot,20260623,uv_index,True,0.55,rice,establishment,0.4,0.3514,0.264,0.0773,0.0204,True,model_estimated_interim,0.35141631360943604,32.424270516378186,74.52050975811137
Matiari,20260623,uv_index,True,0.55,cotton,vegetative,0.4,0.2141,0.428,0.0471,0.0202,True,model_estimated_interim,0.21414042090820187,25.8206183400661,68.41778750435569
Tando Allahyar,20260623,uv_index,True,0.55,cotton,vegetative,0.4,0.2073,0.428,0.0456,0.0195,True,model_estimated_interim,0.20725525665757996,25.440386667031124,68.78524324414445
Narowal,20260623,uv_index,True,0.55,rice,establishment,0.4,0.3283,0.264,0.0722,0.0191,True,model_estimated_interim,0.3282575811750626,32.2214987460121,74.89358932244859
Kech,20260707,frost,True,0.52,cotton,flowering,0.9,0.0947,0.428,0.0443,0.019,True,model_estimated_interim,0.09469474018237696,25.979166383372352,63.200672288751605
Sheikhpura,20260623,uv_index,True,0.55,rice,establishment,0.4,0.3239,0.264,0.0713,0.0188,True,model_estimated_interim,0.32393303651070066,31.557511187958458,73.8694134849586
Okara,20260708,frost,True,0.52,cotton,flowering,0.9,0.0916,0.428,0.0429,0.0184,True,model_estimated_interim,0.09160990823750594,30.749666998637263,73.61217517041936
Okara,20260709,frost,True,0.52,cotton,flowering,0.9,0.0916,0.428,0.0429,0.0184,True,model_estimated_interim,0.09160990823750594,30.749666998637263,73.61217517041936
Mandi Bahauddin,20260623,uv_index,True,0.55,rice,establishment,0.4,0.3161,0.264,0.0695,0.0183,True,model_estimated_interim,0.3161133548819403,32.380949633723084,73.42640461875796
Rajanpur,20260720,fog,True,0.75,cotton,flowering,0.3,0.1896,0.428,0.0427,0.0183,True,model_estimated_interim,0.18960693782332996,29.10671443314065,70.15043117103322
Tando Muhammad Khan,20260623,uv_index,True,0.55,rice,establishment,0.4,0.3101,0.264,0.0682,0.018,True,model_estimated_interim,0.31013512695313916,24.885925465972228,68.47381465968945
Jacobabad,20260623,uv_index,True,0.55,rice,establishment,0.4,0.3083,0.264,0.0678,0.0179,True,model_estimated_interim,0.3083335510472957,28.079200745318197,68.45319087854767
Rajanpur,20260623,uv_index,True,0.55,cotton,vegetative,0.4,0.1896,0.428,0.0417,0.0178,True,model_estimated_interim,0.18960693782332996,29.10671443314065,70.15043117103322
Rajanpur,20260715,residue_burning,True,0.55,cotton,flowering,0.4,0.1896,0.428,0.0417,0.0178,True,model_estimated_interim,0.18960693782332996,29.10671443314065,70.15043117103322
Mirpurkhas,20260707,fog,True,0.75,cotton,flowering,0.3,0.1842,0.428,0.0414,0.0177,True,model_estimated_interim,0.18421144332375985,25.22578109140304,69.1864815369011
Khairpur,20260710,fog,True,0.75,cotton,flowering,0.3,0.1833,0.428,0.0412,0.0176,True,model_estimated_interim,0.1833083831803935,26.8551437884378,68.98577019557749
Nawabshah,20260710,fog,True,0.75,cotton,flowering,0.3,0.182,0.428,0.0409,0.0175,True,model_estimated_interim,0.1819973415250929,26.272782618303935,68.39749418172028
Nawabshah,20260720,fog,True,0.75,cotton,flowering,0.3,0.182,0.428,0.0409,0.0175,True,model_estimated_interim,0.1819973415250929,26.272782618303935,68.39749418172028
Mirpurkhas,20260623,uv_index,True,0.55,cotton,vegetative,0.4,0.1842,0.428,0.0405,0.0173,True,model_estimated_interim,0.18421144332375985,25.22578109140304,69.1864815369011
Khairpur,20260623,uv_index,True,0.55,cotton,vegetative,0.4,0.1833,0.428,0.0403,0.0172,True,model_estimated_interim,0.1833083831803935,26.8551437884378,68.98577019557749
Hyderabad,20260623,uv_index,True,0.55,cotton,vegetative,0.4,0.183,0.428,0.0403,0.0172,True,model_estimated_interim,0.1829584009386204,25.386847921402374,68.4882872626284
Khairpur,20260711,residue_burning,True,0.55,cotton,flowering,0.4,0.1833,0.428,0.0403,0.0172,True,model_estimated_interim,0.1833083831803935,26.8551437884378,68.98577019557749
Nawabshah,20260623,uv_index,True,0.55,cotton,vegetative,0.4,0.182,0.428,0.04,0.0171,True,model_estimated_interim,0.1819973415250929,26.272782618303935,68.39749418172028
Lodhran,20260706,fog,True,0.75,cotton,flowering,0.3,0.1775,0.428,0.0399,0.0171,True,model_estimated_interim,0.17749460733220643,29.6947473198121,71.73476503298319
Lodhran,20260711,fog,True,0.75,cotton,flowering,0.3,0.1775,0.428,0.0399,0.0171,True,model_estimated_interim,0.17749460733220643,29.6947473198121,71.73476503298319
Lodhran,20260712,fog,True,0.75,cotton,flowering,0.3,0.1775,0.428,0.0399,0.0171,True,model_estimated_interim,0.17749460733220643,29.6947473198121,71.73476503298319
Rahim Yar Khan,20260709,fog,True,0.75,cotton,flowering,0.3,0.1751,0.428,0.0394,0.0169,True,model_estimated_interim,0.17514806645625366,28.524274232993303,70.5136351971601
Rahim Yar Khan,20260714,fog,True,0.75,cotton,flowering,0.3,0.1751,0.428,0.0394,0.0169,True,model_estimated_interim,0.17514806645625366,28.524274232993303,70.5136351971601
Umerkot,20260623,uv_index,True,0.55,cotton,vegetative,0.4,0.1783,0.428,0.0392,0.0168,True,model_estimated_interim,0.17834453152347804,25.37012575852144,69.82726207102694
Lodhran,20260623,uv_index,True,0.55,cotton,vegetative,0.4,0.1775,0.428,0.039,0.0167,True,model_estimated_interim,0.17749460733220643,29.6947473198121,71.73476503298319
Lodhran,20260715,residue_burning,True,0.55,cotton,flowering,0.4,0.1775,0.428,0.039,0.0167,True,model_estimated_interim,0.17749460733220643,29.6947473198121,71.73476503298319
Chakwal,20260720,frost,True,0.75,cotton,flowering,0.9,0.0576,0.428,0.0389,0.0166,True,model_estimated_interim,0.057615891955652594,32.81478333618123,72.47731221100592
